Title,UPC,PC_ID,loose_price,cib_price,new_price
101 In 1: Party Megamix,730865700066,19871,6.69,6.87,9.99
A Boy And His Blob,096427016120,19745,10.89,12.59,42.17
AMF Bowling Pinbusters!,093155126503,10874,5.64,8.7,15.00
Active Life: Extreme Challenge,722674800211,19482,6.99,7.95,22.24
Active Life: Magical Carnival,722674800334,32210,7.0,7.5,12.95
Active Life: Outdoor Challenge,722674800129,14651,6.12,7.03,17.99
Alien Syndrome,010086650044,6783,5.14,6.35,11.48
Animal Kingdom: Wildlife Expedition,719593120087,19640,5.23,6.36,8.99
Arc Rise Fantasia,893384000472,21626,59.0,69.99,111.27
Astro Boy: The Video Game,879278340107,19792,6.23,6.9,16.75
Barbie & Her Sisters: Puppy Rescue,815403010828,36213,7.49,13.49,29.53
Barbie As The Island Princess,047875754058,10346,5.28,6.2,15.00
Barbie Horse adventures riding camp,047875756953,15779,7.91,9.97,18.00
Baroque,730865700042,16424,19.09,21.53,42.99
Battalion Wars 2,045496900250,10347,10.85,12.0,37.67
Big Brain Academy: Wii Degree,041496900115,6785,5.01,5.59,11.76
Big Brain Academy: Wii Degree,045496900175,,,,
Bigfoot: Collision Course,802068101596,16414,5.64,5.66,11.23
"BlastWorks: Build, Trade, Destroy",096427014959,11356,5.75,5.94,10.97
Bleach: Shattered Blade,010086650068,8621,6.64,10.22,33.50
Calling,083717400936,21051,47.58,50.0,72.91
Calvin Tucker’s Redneck Jamboree,802068101756,16081,4.59,5.82,12.16
Candace Kane’s Candy Factory,828068212339,16165,3.11,4.31,9.58
Castlevania: Judgment,083717400776,16019,15.92,17.47,27.20
Centipede: Infestation,742725281936,31886,9.37,10.64,14.36
Champion Jockey: G1 Jockey And Gallop Racer,040198002196,31880,16.99,22.09,44.00
Chaotic Shadow Warriors,047875760615,21620,3.51,7.06,19.99
City Builder,814290010201,21367,5.49,7.79,13.69
Cocoto Magic Circus,815315000719,14487,5.22,6.46,6.95
Conduit 2: Limited Edition,010086650471,31344,20.8,40.0,57.71
Counter Force,815315000467,8766,4.5,6.45,6.93
Crayola: Colorful Journey,650008500455,22155,4.54,4.9,9.84
Crazy Mini Golf 2,890219002205,21634,6.66,7.71,15.00
Cruise Ship Vacation Games,047875759213,19559,4.72,6.33,9.39
Cursed Mountain,895678002148,19511,16.94,16.99,31.03
Cyberbike: Cycling Sports,093992093815,36666,99.99,217.95,436.00
Dead Space: Extraction,014633192087,19668,21.06,22.1,56.43
Deadrising : Chop Till You Drop,013388350100,16313,8.55,9.19,21.19
Death Jr: Root of Evil,788687300124,13815,9.95,13.76,27.33
Deca Sports Nintendo Wii,083717400615,14262,5.99,6.68,15.00
Destroy All Humans: Big Willy Unleashed,785138301365,11881,5.39,6.86,19.99
Dewy’s Adventure,083717400554,7305,7.18,9.92,21.58
Dokapon Kingdom,730865700059,15727,59.73,75.57,169.15
Domino Rally,695771900545,20386,5.97,6.3,14.74
Don King Boxing,710425343650,17473,6.32,8.57,16.33
Donkey Kong Country Returns,045496902001,30775,13.98,14.71,37.43
Dragon Ball Z: Budokai Tenkaichi 3,742725275584,10876,40.32,46.0,150.00
Dragon Ball Z: Budokai Tenkaichi 3,742725275942,4687188,,,
Dragon Blade: Wrath of Fire,879278340015,8863,5.95,6.79,14.95
Dragon Quest Swords: The Masked Queen And The Tower Of Mirrors,662248907208,12099,11.99,18.61,36.76
Dream Pinball 3D,612561100060,13145,5.62,6.99,8.68
Elebits,083717400516,7321,7.49,7.87,21.78
Emergency Mayhem,767649401437,13222,6.56,6.74,11.61
Endless Ocean 2: Blue World,045496901837,20777,12.06,13.0,18.35
Epic Mickey,712725004576,30791,4.02,5.03,14.87
Excite Truck,045496900021,7323,6.69,9.95,39.67
Excitebots Trick Racing,045496901523,18725,8.66,8.84,24.99
F1 2009,767649403028,32354,37.41,39.9,128.45
Final Fantasy Crystal Chronicles: The Crystal Bearers,662248909080,20120,12.0,12.58,34.95
Final Fantasy Fables: Chocobos Dungeon,662248908106,14065,17.97,18.92,50.67
Fire Emblem: Radiant Dawn,045496900410,10353,109.92,109.94,156.37
Fishing Master,083717400592,7332,7.49,9.9,16.21
Fishing Master World Tour,083717400783,18540,7.0,10.97,22.91
Fishing Resort Bundle,853466001445,91077,84.35,150.0,159.99
Fling Smash,045496902124,31872,6.77,7.05,8.26
Fortune Street,045496902650,32379,25.05,26.07,40.32
Fragile Dreams: Farewell Ruins of the Moon,853466001285,21068,72.66,83.15,110.00
Free Running,891563001654,20432,11.99,16.71,24.99
GT Pro Series,008888173236,7342,3.94,7.13,17.93
Game Party,031719191895,10877,3.48,5.47,11.33
Gem Smashers,650008501025,32155,5.29,7.17,13.99
George of the Jungle And The Search For The Secret,650008400045,14415,4.95,5.97,10.44
Ghost Squad,010086650099,10879,9.22,10.39,19.95
Godzilla Unleashed,742725275539,10544,29.99,33.56,81.35
Gormiti: The Lords Of Nature,083717401124,22026,7.2,12.94,13.73
Guilty Gear XX Accent Core,893610001068,10354,15.03,16.99,43.91
Gunblade NY & L.A. Machineguns Arcade Hits Pack,010086650440,32823,65.35,78.19,101.99
Harvest Moon: Animal Parade,719593120094,19965,22.21,24.41,44.71
Harvest Moon: Magical Melody,719593120056,19512,12.92,14.06,21.22
Harvest Moon: Tree of Tranquility,719593120018,15639,13.73,15.25,26.49
Harvey Birdman: Attorney at Law,013388350049,11055,9.63,11.18,14.99
Haunted House,742725281905,22142,7.24,7.56,18.68
Help Wanted,083717400813,19074,6.99,8.19,16.49
Hooked: Real Motion Fishing,893610001051,10372,5.9,5.9,39.99
Indianapolis 500 Legends,828068211530,10548,4.7,6.03,7.74
Jimmie Johnson’s: Anything With An Engine,083717401230,31847,4.72,5.0,11.44
Ju-On The Grudge Haunted House Simulator,853466001223,19748,70.0,85.01,228.15
Kawasaki Jet Ski,828068211721,11870,4.88,5.8,13.76
Kidz Sports: Ice Hockey,828068211776,14113,5.09,5.99,10.18
King Of Clubs,650008500158,13217,3.49,4.99,8.20
Kirby’s Dream Collection Special Edition,045496902933,33056,44.48,57.57,119.99
Kirby’s Epic Yarn,045496901998,30334,13.9,14.26,34.28
Kirby’s Return To Dream Land,045496902643,31877,21.26,26.17,64.97
Klonoa,722674800181,18739,32.17,32.17,137.05
Kororinpa Marble Mania,083717400523,7369,17.95,19.23,38.51
Legend Of The Dragon,855433001649,7372,5.5,6.99,8.99
"Legend Of Zelda: Skyward Sword Collector’s Edition, The",045496902667,32356,70.35,85.0,230.74
Lego: Harry Potter - Years 1-4,883929085835,21566,5.63,6.49,12.99
Let’s Paint,802068103040,31360,4.56,4.97,7.64
Little King’s Story,853466001100,19407,24.49,24.99,36.37
Lost In Shadow,083717401063,30842,26.14,34.94,49.50
Lost in Blue: Shipwrecked,083717400707,15066,9.74,9.92,34.13
MLB Power Pros,710425343148,9362,10.04,10.44,27.25
Madden NFL 13,014633197334,33007,8.99,9.7,28.45
Madworld,010086650198,16397,12.53,12.99,23.60
Manhunt 2,710425341632,10357,13.0,16.92,48.40
Marble Saga Kororinpa,083717400806,16403,12.16,12.4,21.01
Mario Kart Wii,045496901028,13229,24.55,26.1,47.00
Mario Strikers: Charged,045496900212,6794,13.97,14.48,39.46
Martian Panic Complete,802068103170,30866,6.63,7.08,13.65
Metal Slug Anthology,828862900029,7385,15.57,20.0,43.63
Metroid Prime 3: Corruption,045496900052,7386,9.89,12.44,39.99
Metroid Prime Trilogy,045496367718,36281,69.54,69.66,160.89
Metroid Prime Trilogy,045496901677,19510,69.99,70.0,147.28
Metroid: Other M,045496901912,21969,12.0,12.63,21.04
Monster 4x4 Stunt Racer,008888175773,19876,6.31,6.5,15.40
Monster 4x4 World Circuit,008888173335,72756,3.15,3.99,13.98
Monster Hunter Tri,013388350117,21190,8.59,9.68,24.61
Monster Trux Arenas Special Edition Complete,815315000528,9370,3.95,6.0,12.31
Monster Trux Offroad,828068211707,11756,4.3,5.99,10.28
Mortimer Beckett & the Secrets of Spooky Manor,781735520284,15956,6.65,7.13,16.99
Mountain Sports,047875760332,19877,5.2,5.92,9.99
Muramasa: The Demon Blade,893384000267,19591,29.99,31.07,51.00
Mushroom Men: The Spore Wars,899163001241,16107,10.5,14.1,19.99
Myth Makers - Orbs Of Doom,828068211691,16207,4.28,5.75,12.95
Myth Makers: Super Kart GP,815315000498,10882,5.65,6.72,8.09
Namco Museum Remix,722674800020,10359,4.5,4.97,12.99
Need For Speed: ProStreet,014633359831,10553,5.37,5.44,16.11
Neopets Puzzle Adventure,013388350056,16147,4.31,4.39,8.48
Nerf N-Strike,014633159394,32918,5.31,5.99,12.00
New Super Mario Bros. Wii,045496901738,20014,22.48,23.0,52.45
Nickelodeon Fit,710425348396,32828,5.0,7.49,12.77
Nights: Journey Of Dreams,010086650075,10927,8.09,9.99,21.25
Ninjabread Man,815315000504,7409,5.0,6.51,14.06
No More Heroes,008888173984,11867,12.0,12.5,37.88
No More Heroes 2: Desperate Struggle,008888175605,20375,16.15,19.97,29.99
North American Hunting Extravaganza,828068212025,15910,5.27,5.64,12.96
Obscure: The Aftermath,893384000397,13146,10.98,12.35,26.00
Ocean Commander,853333001394,16880,5.23,8.9,13.93
Octomania,815315000733,10554,7.46,7.47,17.15
Offroad Extreme!,815315000535,14210,3.26,5.47,5.55
Okami,013388350070,13218,9.77,11.99,20.00
One Piece Unlimited Adventure,722674800044,11871,29.49,31.49,93.08
Onechanbara: Bikini Zombie Slayers,879278340053,16280,19.98,21.0,52.81
Oops Prank Party,083717401049,22143,9.0,10.38,21.51
Pandora’s Tower,853466001551,33986,61.34,68.82,73.00
Penny Racers Party: Turbo-Q Speedway,053941706012,15691,5.94,9.36,21.97
Phantom Brave: We Meet Again,857823001550,19483,19.45,24.66,32.95
Pinball Hall of Fame: The Williams Collection,650008400014,14090,6.48,8.47,12.31
Pirates: PlundARRR,096427016441,31499,9.24,14.88,22.47
Planet 51: The Game,010086650310,20003,5.85,8.12,11.34
Pokemon Battle Revolution,045496900168,6799,20.13,24.98,114.23
Pop’n Music,083717400905,19804,9.99,10.91,15.00
Power Punch,890219002212,21630,12.0,15.75,46.65
Punch-Out!!,045496901493,19210,32.15,32.41,58.49
Rampage: Total Destruction,031719191741,11148,7.0,9.99,37.67
Ready 2 Rumble Revolution,742725276956,16453,8.82,9.16,23.50
Rebel Raiders: Operation Nighthawk,780332095898,7432,4.0,8.48,27.09
Red Steel,008888173243,10792,7.72,7.99,17.85
Red Steel 2,008888174172,21102,8.27,10.86,24.49
Remington Super Slam Hunting Alaska,859292000355,31301,8.24,11.99,21.09
Remington Super Slam Hunting North America,859292000287,30703,10.93,10.95,21.00
Resident Evil 4,013388350032,6800,9.99,10.67,31.54
Resident Evil: The Darkside Chronicles,013388350155,20027,29.99,32.34,68.07
Rooms: The Main Building,083717400967,21104,8.39,9.95,22.19
Rubik’s World,855433001915,15864,3.94,5.56,9.51
Rune Factory: Frontier,853466001155,16454,28.95,29.51,38.64
SNK Arcade Classics V.1,828862900081,14273,12.62,13.41,27.63
Saint,695771900538,21623,4.97,5.99,8.49
Sakura Wars: So Long My Love,857823001499,21107,60.91,62.45,92.62
Sam & Max Season 2: Beyond Time And Space,742725278974,21054,6.1,8.95,18.95
Sam & Max: Season One,625904552921,14383,10.22,12.99,20.30
Samba de Amigo,010086650143,15065,6.14,6.52,11.10
Scarface: The World is Yours,020626726689,6801,22.89,29.76,53.49
Sega Superstars Tennis,010086650150,11877,5.24,6.47,15.68
Sengoku Basara: Samurai Heroes,013388350193,22166,14.19,22.59,44.99
Shiren The Wanderer,730865700073,20411,64.98,65.6,100.93
Silent Hill: Shattered Memories,083717400851,20108,74.99,75.0,138.75
Sin & Punishment Star Successor,045496901820,21571,28.54,30.75,37.89
Smarty Pants,014633159073,10543,4.0,4.47,9.79
Sonic And The Black Knight,010086650211,16365,10.28,11.02,25.35
Sonic Unleashed,010086650174,16007,10.0,10.46,27.99
Sonic and the Secret Rings,010086650020,11033,8.56,8.58,18.40
Space Camp,047875758896,19235,3.26,4.54,13.33
Spray,018946010571,16109,4.25,6.69,11.50
Spy Games: Elevator Mission,695771900118,11453,4.35,4.91,7.20
Spyborgs,013388350087,19646,10.0,11.94,21.66
Squeeballs Party,708056080211,19751,6.38,6.89,14.84
Star Trek: Conquest,093155126305,10561,9.68,9.88,37.36
Story Hour Adventures,802068102050,16423,4.45,5.57,4.97
Storybook Workshop,nocode20121209175654511,20067,4.25,6.11,7.28
Super Mario All-Stars Limited Edition,045496902148,30822,31.5,33.11,60.00
Super Mario Galaxy,045496900434,10562,13.7,14.27,40.32
Super Mario Galaxy 2,045496901905,21371,21.97,25.19,58.71
Super Paper Mario,045496900151,10798,13.6,17.49,51.67
Super Smash Bros. Brawl,045496900397,11865,14.48,15.99,46.64
Super Swing Golf Season 2,018946010540,10928,6.16,7.25,14.90
Swords,096427016557,22031,8.19,8.28,14.63
Tales Of Symphonia Dawn Of The New World,722674800082,15952,11.93,14.38,32.78
Tamagotchi Party On!,722674800037,11543,6.56,7.77,15.80
Tatsunoko Vs. Capcom: Ultimate All-Stars,013388350162,20376,39.99,49.16,112.49
Tenchu: Shadow Assassins,008888174905,16265,5.65,9.57,21.25
The Conduit,010086650228,19323,9.47,10.55,19.99
The Destiny Of Zorro,812872012049,18738,4.4,4.81,9.47
The House of the Dead 2 & 3 Return,010086650167,14122,14.95,18.5,42.78
The House of the Dead: Overkill,010086650204,16282,20.24,24.22,39.98
The Kore Gang,742725282469,32433,16.99,18.0,34.95
The Last Story,853466001513,37414,76.99,80.6,129.99
The Legend of Zelda: Twilight Princess,045496900014,7510,14.49,14.51,35.64
The Monkey King: The Legend Begins,695771900316,13221,6.18,7.0,11.28
Tony Hawk’s Downhill Jam,047875816091,10047,4.3,5.79,9.25
Totally Spies! Totally Party,853333001479,16401,5.9,8.3,17.50
Toy Story Mania,712725017545,19620,4.44,8.15,19.95
Trauma Center Second Opinion,730865700011,10802,8.48,9.3,29.00
Trauma Center: New Blood,730865700028,10886,10.0,10.0,22.75
Triple Crown Championship Snowboarding,828068212926,30960,4.75,5.99,7.60
Ultimate Board Game Collection,853333001233,10084,4.8,4.92,9.70
Ultimate Shooting Collection,695771900521,16227,29.1,34.67,49.99
Valhalla Knights: Eldar Saga,853466001209,19675,16.11,16.17,35.00
Vegas Party,814157010009,21617,6.89,6.92,9.59
WWE All-Stars,785138303963,31272,11.98,12.83,36.99
Wacky World of Sports,010086650297,19649,8.05,8.22,18.98
Walk It Out,083717400820,20355,8.83,8.85,24.99
Wario Land: Shake It!,045496901172,15064,18.25,18.52,54.99
Wario Ware Smooth Moves,045496900038,11191,15.95,17.74,59.28
We Ski,722674800105,14151,4.22,5.48,9.18
We Ski & Snowboard,722674800143,16366,7.37,10.0,14.06
Wii Fit,045496901073,32420,3.99,4.0,7.99
Wii Music,045496901301,15766,4.97,5.35,10.80
Wii Play,045496900069,13255,2.95,6.99,11.82
Wii Sports,nocode20120128151228959,14613,15.75,16.44,32.99
Wild Earth African Safari,096427015116,13226,2.97,5.14,7.62
Winter Sports 2: The Next Challenge,815315001549,16057,5.81,5.99,9.70
Wordjong Party,828068212094,18669,4.17,4.9,7.57
World Party Games,625904711922,20123,5.24,5.73,7.68
Worms Battle Islands,785138304267,30777,11.87,11.9,24.17
Zack & Wiki: Quest For Barbaros’ Treasure,013388350018,10373,11.82,13.19,34.99
