PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
3780,23.91,59.33,800.00,https://commondatastorage.googleapis.com/images.pricecharting.com/52541f95ebe934c8fc2f2fd662bb78cd554c10afea003d48c5f8d78c905342d0/60.jpg
3966,14.00,44.11,77.19,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96rb2uR8uaH2Z7eupNzlDmpTJlT_b7SbDVSlhW_y5-QhSsVcsObibBOIroVgZjfvJK8j6bQqSOm0liZCfdUopLaHeMLKx_H8g1BhkO--2pb4R-EQkJUiPFVVG1IqvVsXJYxE_q17SFANlwdeimqcrkd0AtlGQ/60.jpg
3674,10.13,40.12,950.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94oESVGiHDWE6gqUaiewERx2WZf1v1FfBYcQvmUXGQNArJ6GKtOtl1SG2bKT9LbQ50mX3dPhSWLFuUL7F1gSUPNYYnJsiMOeJzfVp7O_JPJVjoBka2zv9llyYfuFQiSpVX2MWjAGdoRSpdJAS3SaZYLpIjQXg/60.jpg
3717,9.99,27.00,162.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94AHQYULqSFU6wLy0tmjp67ulWtESk9JfgdEUjokuaBV-BeGutNOXqwlgzcAWF3BePHP9bKIT8cSQo6wQHkLbzGC5_RW-tVzd-N4plWrfy_tGUeOkoqTjzxgpNn4ANKID1E_NgQqW7kdXsgoTCONBJ6bfRIHg/60.jpg
14427,14.70,54.48,225.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94kiddQ1XUFSgCNynb2zcqTWX5cX2ylsoII-tJ6UxV3HhXLHjh8R4TA11FiU3znibSKxK6PnOxy2GDS5iH0olX80LNTcXYInfrmlAJcPblaOK0yhmxKNX0ylAJYjf0-Nnn0whR-NxyXaFWU9reKbiphPODK3g/60.jpg
3675,12.16,49.75,249.99,https://commondatastorage.googleapis.com/images.pricecharting.com/6d74957a958f10f37e1ba02d3a3a01be75feb5200564fc9d8bbaeec50bce0a35/60.jpg
3676,28.34,73.61,118.26,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97vZXNlXGym0W102cFa0RltLTTpj2QeOT1sh1ryDTmaOX0ZTv2KucjIXQDAFMfw80I0b_wjBeZ0PJ-Gh2wJdKMjTHjqduQzlWg3p_XjgTDTJRXj4ZVWaS6wojU7-FIC20ClIG4pkUyXLMej4nKCHPDZfQ1eLg/60.jpg
3677,6.57,15.73,89.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96DC1U7i9lmx-tHTcStHls1xPT6-QFjs0svqiH60WMwMFW21BMjUoayEAziqmOV7xYxKwK0glRqsWWrFXECdXIPR2z_ZOYzsDyOoxnOtsbEksNnzkO1yUu5D6mUOYrl8gOGfcFYnqyTlIiamDj-5YESvKcreg/60.jpg
3678,9.69,16.00,86.96,https://commondatastorage.googleapis.com/images.pricecharting.com/493f9df6685bae0aaeb160209d9636f6dff58dd9fed026773ea26c554c33bb93/60.jpg
3679,5.96,19.12,47.97,https://commondatastorage.googleapis.com/images.pricecharting.com/b9d6e159ca7af10118e7414d05a3b885c4f4c987db1cf39c142eeaa7bc23ee60/60.jpg
3680,31.13,59.97,150.24,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95ek17XSIMxn1KQHaYXGwC4eYWCNZkH4fAF4kz-Z0fziDtqBiaNOfgt5oKEj8C51mbOWDsfK2CbDrC8-fizuX0CY0Mf8SDHOCwyXY-3Tu3Fa7u4YNh3bG3-gBd9TqvuxmXEvWoZA8mrA56Gjn78Xg9gZwBozA/60.jpg
3681,9.47,41.00,72.71,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96jaYPzdLHpu2NK4Ye9lKn8r57ThZajbCtgqZdvm31ZYgoCksbQzNWEaa3Rq3-1mgjJtJRozHwXWPBmWKb4hRhmvGWSck43P3Don130l676lweav1uoAV6KB5QOYZhBLjprL0ZVrgE-cLd3JbF3LrLhVqJT-A/60.jpg
3683,15.99,54.48,111.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96br9czOaCvuBUzCKguwTJJ9Z99OE0txi0EkoVgff79PLP7I63YxcJ9Gio1YU2maBNCKUgr6oJpUa_jV3fzXecN1yFZMFh3NxBF7RgL48qzPdcB_4FicgONmpyOYbSDIVQkyydSxudeVH01lb-Z5_UWKaWTCw/60.jpg
3684,14.02,47.81,199.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv946-JahAuk-ETlHQTb9hWJi2FD7NM7GCWOFfQsP9E6Pao-Wo5Jg_DCspN0yqZ5EV_CXv7WcbZfBvsg66IglzeN76ZOeqKrp2sUJJTZ0kVkMIquad2RAD5W8N6eEpERGSDqyiTQB2m7ESmb4OdjrTUR3cmCYXA/60.jpg
3682,17.50,56.86,214.13,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97TaWidw7qv7xTTYX5_WV1F4mNbE32ekVN04WrRPwhxbYZn11LuwGhL8XvTXN-cksG6rxrJEMqWWGw9TU6tpk2L9q4XGHvjL1PjHk_eqcGtLyAPe1oxY2aZYLAQ_9Nzmpj2A6LRZ9bYgCa18NRHlXARiHArMQ/60.jpg
3685,10.47,45.00,174.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv968huRTw4cTS-CbThc3CttC1B747axoJgcLOEeK8vmV1UYARM5NaRH5TJ8iIx7dZ8kYlw46aCb5TiAzbUSV9ajZewhS42sU9N42S2Dp5KydfnS-LoMLK9QqZXS6DslU9MVgZYGI0FJ8VdODwoaM5qeAIetqMA/60.jpg
3695,7.64,30.24,226.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96nWYLXSdYr42KM2JcJHeUpxymkdKLjMA397n3To_rT8zblDoqdj88GmGZ_fvz-irjkw_WRYf-X_Ve3Z7tz7gc8Icye3wtZW59aQ5HlmdEyqOsVHzECSvu5RipmvPrxAMfTbAHqKocmVPc4K2mAPRe18gUnXg/60.jpg
3696,20.37,95.00,768.50,https://commondatastorage.googleapis.com/images.pricecharting.com/f5c662251b88c6ccc2ae87b3c0f44c4e132f7a153099ab9b983cff7457deccb0/60.jpg
3697,26.41,117.50,705.05,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95qOKEzowvvLK_DrdRxv8ldulvY5u6Pica8BOZf0UrgFwmnv0U5EfXBTDwOnBB8eNz4ExnZlCy9-2ncyxTsQUc1HBYdJ7HP4vIOuHauNKBMd6uBcK89hL1Oq_JBLzg9cweiJXVp7-DBMonLYVHRqnd1Q6YcyA/60.jpg
3698,9.99,22.47,61.71,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96PSUolnPP7PAkR3Bcw4aALaC-IsZUSkxbxeMZa3-BtaOu2GEgHNJ70SKBVmFF7gkcJf4TT4t-EhuujjevRRoMIOjAnV60vPx5pzBM3X05DOCqbMv_kEj9lCmIHRz7k4p97nRHI__na1K05umtmXNLYS_VzLw/60.jpg
3699,14.50,40.00,86.76,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94D9Y48eCHQIQ8rk8oF3UPk_OuZzG1HaMbLGA7XZ5VHP8a7ROQ3j-jl0LMpD63CZyVY15wMKj6EPSHlyYHgTfzTgn6twqgFoC1FYMG6ytUBhP_WWKd2qzaH_DiIPMGKqMSd3MKphua0OxmhGbbmibfU4viZvg/60.jpg
3700,38.80,196.19,388.03,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9587IYZ6tFpYvjzIjzwZ3_CRBP0GDo8I9HrmQc7KmzdF-uDaY1mL58OI16MetO4GyRGGOxSL_Uj9lNIfeX_rWNYRLcLJyBYPTcAoszT13Tn3p7ihGGPm26SGitHI-4tuOgu5Fc0Tel7k0p1LcaHV40lak6LMA/60.jpg
3702,15.90,48.66,180.97,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96yoWrCY15PbHVfeBacryVF8wei2ECV2RSeg4OadaK4NYIx0AYNgsTmjy-uH9jkOPzd2GqpBj-HLy9wkYA82Qn_ex2JgHHkqnp8zyR7RY2q5KNvUoA8D5iDbQir3JwxMsV9TyaA4z-QuvJHCXH9K0CtYwNQzw/60.jpg
3703,22.81,50.00,205.74,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97rDC7uM6rjCSCO9Rd5hGQURUK1aiVvIwbLIhnTE2Rq3SdiLI5fgQTWaT37rd8xD8kBz_tE5S-Jyi4uZJm6rQdf8WLnmpUGYpoHn8p95zKHo4wJfvb2LffrpYP1IZJ0p6qwFBQDjmRDYTbwSpX8Fs7VUX8h-g/60.jpg
3701,28.00,96.84,"1,103.74",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96yXb17OEDg0lENRUXVtVbOYCyYojWs_dyhavCOndUXxlH58URSCjVEVe3XzUEOUu_VTb7h2hIEnfh-5ha9h62kdZG-j5wbwPEiIpoju8cOdAlW4K4OEjxNYu4-zYsEN4HSFnxcNu6VNypXELlVHoUiCkrYGA/60.jpg
3705,19.84,70.54,157.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95upTOWD6cKmOo5Z5Y1AmUIHUo7ZMa8OjUYzQ-3rryh9Y5G6VbCV9fI--BlYIgHVM-VwlX6942nTGQU--X9Dy7AUKYdxlMcTnj4QKU11yM77ymzJEVXXNDtbg2Rtg1deEFZOnD_3v65kndC57IOrVxFP1Nn8Q/60.jpg
14428,65.30,342.89,"1,058.99",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94EzTM3BKS-1CWEX3QKqzj5q1Hjk2JrcrwpqvWQUUTYALmqoqRKCX9YVbLXL1-yLVssGBIjKye1D-FOfug6DE_R3pze_wUDo-JBoE55r7ljmqwn-76BAjc9nh91vet_-CQIiFRwtUbIthSRGvGqac636r2hfg/60.jpg
3186,9.99,52.50,98.96,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95ut_pdgCbdBeAKNBROTifSePyYZPAzn1VSScImdlrEFaK8NefPkLShiqjKEt-9z_8MOsL-mBzZ4L40ZH9905piEafGUDZf0VIIwK-xUqkwO0g3JDtLmLKeW_VU-l2jpS1XsBN1DcqO9PPWOZUiin3u_jxUAQ/60.jpg
3707,15.00,57.31,247.23,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv957PcznjURTA3iF9zVh43sZ1pecxIQ1y6xcAlZaGwcAd78prgTS6ef3w9chW2WRj19oNv3brGezMQbUZsuyjG4OLNO0OhtlmtaJj6qQynU2ynNTRjZIxeOzXe_A5Xc8thxfiFNDk1opY-fcQKlJkkjc3laHzA/60.jpg
3711,24.99,121.38,242.44,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96ROroGhnoRL9OXWEdJiUgpBc3ks7YSyQBPGdZdFglVW9UGWJX0oxJaOcLS7MYLZuQ31yTNcUTTOmAwJ_BH4apJXihDndkBV604evWzylt9S6_YH1OfEb9Z19zozQIL8IPRb9j44NOVfir4Ny0efO7wD6Mguw/60.jpg
3712,17.26,65.00,160.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97wWvVG48RTLOwEeT53rEfcB42w1TXoWdzVbmgmKtQXhNBnLO9Qb6rNDW70CYaf6QMYxroBkX4axOFkWeatJ1pFj9cC5Nre5dWlM33_3HU3H2ac4ijG8BFgDD8BwuhZZ-VjzjNGnoMYiRanqNkisRvPCKI8NA/60.jpg
3713,17.74,71.28,335.79,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv955bQ_704b2g1l8LlgY4GjO6ejm1WXJPwodLukZWRNWeakH_bOusNXy0d_5pyy_G6iR_sKkFO0DiwL-NA-5ucIV3E85L2gZPclpJPIYaEiBAji4jqUPYnEZkIqibWdxOYzu53Cu7Tk3AIgxuZJO9G5ALUYemA/60.jpg
3715,215.00,866.22,"2,685.00",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9449ab6H0FAdUWU45lfnE1fKSnM3cWmofRYX2sQ5nX7lxbhEd7RuQm8u7ZzgwaSBCKx83moVLmwsFFY10BNAGWeC5XlZVDZHa2Gb-ryJKEadbktXtbejDCdOArJ8E5CYIZ5u2Ui9hS4Zqs5_D9_uEG7rtULJw/60.jpg
3714,16.00,74.00,410.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95N3WdPggpdvDryC8SUvOAjJr7u0WtZ4EUicgMGLbetifpmmes7n8ladGyMLgqiqps0ppHtiM7RP3TBPPNUN01E0eaYTJ9jrIYy2uga_aF0CJBRf7ZH0T4PmV3AxIvpGMPnYzEzfhfCpkhzKvkiCgaWBab67A/60.jpg
14881,18.00,48.98,51.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95chvgc9JNbDdDIS9XklLUBF2HtioEJ4Dvwf4QEklyBZ8S2LeddY88MpR3dY9IW2_xYv67RPqo_jqDpNdvY8Aniaxj2bdnp9Bz6ig6louNeQF5-t8hUNoiI9-A12fnZ9DqSOtb2p_1ilpmsfwV-pYR8cq4bTg/60.jpg
3728,29.09,89.00,501.49,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96yyTTHOsjBmUeGv6XOOedTw_zKucx0Lu-Z7wTIV68tZONqYT7EtsB1BYxBAeI4pBRIisH05gs5gSQsdCqNPoKK1-eWg1scgZ61mLwQjBz64b8XVkeIkTiSiaZ-SAQzro0rfYwW35rYl1UxJEKn2sEdic76Qg/60.jpg
3716,25.59,94.49,187.28,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96dbB5krw2vj7HKmYExl8dpT6iFrEzT2xpH_lwitiPk8ICuEsLQGnNowtt1kDItCpFmpxM6fw0-2ASfKaVs45_wSVFx31Ipgj8wrtqyTiRTqGJpnO-gY0v9xfSbxZKtJgNfz9mRB35jGeGdRzzV192jeO0ZdA/60.jpg
3718,17.50,71.00,124.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv970VimmBvcGgNUEk6J0ZDx8EZjz85tV_SJo568VgH0rOXNMoapMxiL9eSp9S8CxZkrd7YNpDIi9hBqxc9yrWeMFC2DFaCAhyvoRbrSJ2Paui5q7Dzj-KCowCJr62EqvEV38Ry3wUklxOKof9LV1tGFeRFZ1AA/60.jpg
3719,36.02,124.48,642.37,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95wghqc9NKKwXz-sUOMx1i39yD5tRDSBZeCWr1d51Dl5VgykG-4LG25gI4p2bs_4Z1VGwdxTexPBIgR4hd7L0GEN39W3y6rw6aHZl-2mx1hpwWxYICTmGwFe5sDmoH_vqIw-v4XPLxgEPO1mqR2jiGY7J6Pyw/60.jpg
3720,12.61,44.79,99.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94XlsLaV1DdSI8Fea-la4N6hWbrfZpceDSgb2ApnED7QOOY8hvHr0XAFSfzXOcdvoLA3lS-cZy-AegZB-dNFd1SfOVn0Ogyt5t3TsWC4B9f1NXO2Yqh_Cd9fPNplsm4Q2ZTSgBc2BDYS6VyGvr1OmsEGbogRA/60.jpg
3721,65.00,198.75,616.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94QlyXxRYcYAk9AhHOnl7Ht34YO7AzDZBDdx9BjQkGQl19QXsQH1QtC_xMNKVq1VU55i38JPnG6uNV4s_LT2uZXLWUWZz9xzEnx-4JidDMu0UE2CNCnTvFjFa2DmbemYmgFSE8I6aaRSi5u2oROfMuqoyZaag/60.jpg
3722,21.81,72.00,309.61,https://commondatastorage.googleapis.com/images.pricecharting.com/ae0a60661048cd222e87cb3047d0c949dcdfa7b4e270d0e86ae4768bee0b848b/60.jpg
3723,110.86,345.61,766.92,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97Ogu_2vc-Hf7j9Gh46TWaBCjsDaIG-xF2rCtRxRUVWqCf8JUpWf6lTMaJJEunqPFNqsaVGcpiwEAT68DyzaIv369Qj-JDpLUmQA8Nuoa3EHKA19aSF5bKcMur5NMaC3O9f7_2EQRnNL0-k_QaIflcfcvX_nA/60.jpg
3724,28.99,113.45,352.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv953sHeWsmffnuXH8fzMOWJCJkQnIhNPEuCjv36qc6ZchtSibXZ6U6na-opFWEt621eraFuZykMO3J1YX7crz3_j_cQSglu_aRJy7jnE64ix0F4jW6kcxkq9TGCbc17oN10j0c3T_4afCjdLYulM2DNfYktnWg/60.jpg
3725,51.82,217.75,675.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94qacXiTozx-AzLgiSI_sRg9yM7LyOmD4wJmf0l8tMTlGV4zE8BTOkQJLDKhlhAiy4RJpFOojmpYyorx8XWyQP3lWh8tdX5B7fAIiqbFEStfEcPiTDM3iN7xdRN6xf_3dlAbdmsf7tCWRxTerTzSa5k0-dTWw/60.jpg
3726,34.36,210.00,426.54,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv962szZIDE3lJR_rVeo78DwyABAGc1otm4jEMDCziu4JJS3Pjm-hakB7OlOR2ES25qVt-Sh0zbAtbhcVzWd1EipkjPUuRoNVR4cqUFZ_zdxRAXv5kevDF2EqpzeiI6lbBPB8Twj8PoOrlhkCXp9DRVO1_o2vNQ/60.jpg
3727,10.60,35.62,150.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97qv8oPW2YxR1pihpqj0DxMDXFtO-bQ_DldJ7iFpYLzfXuipbDmPtTB6kzGxxjzo016gANV9u8yWTg0LNTMllUYQazcCa7GSW6CFpxxcip-7wNZEXBvhK5suNqx8DzUAGwD5XeZohO0jFCCT_zVmDNKydN1bg/60.jpg
3730,23.61,137.99,645.47,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95mMrAFY-QT4TqK3ELhhG1F1nLg-Qg9ukVVeiHTN_ViICi2BKsaPzWu-v6knPpYL_ei3QVxK7W5Jn0o5gTxWJfHOEX-jjctlwDEB037o1FqO3Lu3NUYwJglo0jpsg5zKukJUeV5z9CVyz1dHE8A-dZg2cZDKg/60.jpg
3729,"1,000.00","5,200.00","16,120.00",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94oysFctnkZ8gjeu4B87JaKnoW5Ib-LrGtozzJ6BQHctmpeD9rGXs4DCeapdtHrsrsGDyTM_fwFeDok-djdeNaLjjGb39iE4XUi6uf1CTarvHupS3Y-oBZKjhev-A2ZfzzIUgoL2BQ1vxwvm_aobW83rLOClw/60.jpg
3731,14.03,47.79,125.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv978mk6XINqyzKaEkr3gboWJklx9ru_01YJ-4ReHCtk2obmknIrarp4Ydt7w1BTZ6DuZjjDN-gW2ukm-6OCNIbba63Af2GOnHXFuwVOWSWufgLVNm9rDNDObdCVEJBeQ50Y5kaOOc3mqrKb2cosB-yBk0FfZfA/60.jpg
3732,112.50,244.79,615.81,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94utlmsg8lJGLz9NSKXBNzKNu0k36Q7D5wW36ApvFvgeQilcaM34MNMo5Bmw9n1LnO3OEAEzg0bXOjqpLJx_yereIVPtldN51IJjxsGFqioaZw-wCvD7uB1er4Ia8MZKIOfvc8E4VN35SbqHvrIAnwkNN5bXA/60.jpg
3733,33.22,110.09,392.13,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94cfXOago9tqJqb_6JIYONY4xvqMmo7aNLfNkNRE1QeieBLAqRwkwqxAv4G_cC0LINwO97iz9x_HwKTmzhbcP2zKsD5xoEhJ1yBplilr0P-WAdbMPdOSFyeQKCqKMRMaIn7vkbq4orFvRxDBVtQQRfjoUm7ZQ/60.jpg
3734,13.75,45.49,540.25,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94FLNUxPZQip2ErZRZbozkW58BbpexC_Uan_MkS_NFgE-tOw-WwqbeC29XkJ0BRJZDLsxlckXnWclzprJfRrhyeqQNyBNwVa5cAj-Ec0jRouIeXeIjoEkfHSoXpNHbPb6e_6q4ntaQWznimuWIP1gc-ITMUFw/60.jpg
3735,18.38,56.11,700.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95D-5xNUc6DUCJ9hFGVY_Vu6NJp5swTDwjQ_8VwhgFpovdoS-BVc3okm8Z0TBuSo0009AkVqYqJOXLcSzz97q3rYOq8CwtoVm6RimZTtXpQlK9V1PX_LtHPOuaXphbzla_pHtHbjNfpyJvk-gHrFSz0kOgR-Q/60.jpg
3736,14.84,70.50,251.94,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94uyLybiwooPu8dE4u3v9Y_E4yAD7cYFaeGPUF1NeO1_KYGGdR7KgQzrjGTX26e16e3ymXJ0vbEaV4Fly75CnJI7RZCRTMajyKpnvKPFL10YR7JguqffIinxsxlEfCFsiZZNoy4C61hU2JFNCy0qnIhL_9JPg/60.jpg
14429,79.99,535.52,"1,660.00",https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95m-SdVlga46N-aOtnjbYxW2UgiJ7BRSNg6-q54Yk00IYY5QjFfiStbdtS5eJVyDRNpsT-MLp2eYaE_upXUNwYYe-GzHkqvYi7C6lLfcHKRPGjsh1RZ-72fY0bgarIo3eZSaFvK5trjS9eCg_0DrGC3oW9NDQ/60.jpg
3737,7.69,39.58,122.50,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94f6WQznYA_SIpQUXzALiL19OttQUt_IkGUfjaJPEiRoCOQMWYE9EScAsdYsp9Q2UGoLwXF7SjNCT_QVtGkpz4n_dRxdnUEVkN2UBPGkqLE2PNNAV_tuMgMTccd_YxRYbgwYSFEsId1HbW-QpTh7ih0hMrK_w/60.jpg
3738,34.21,132.43,279.19,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94ll7vh-mY9blI0weLVt_0t-6UkXorLqggfsXfAbph2winqTiOVfAccCngasGMuy2Y6rLJikepdorSk40RluTzp-G7RQ1Cre9JG4ElzKREvxmPLcGz_TBltlMLvzUUFddS-FRfnUz9fHvdK_V8LS5OFTFn6IA/60.jpg
3739,19.27,67.14,325.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv9537GvSIWz3rnEpaFoxILpdOXL-pmCO3PgMktbjbGXYrzSFsatstMaV-QXWsWuDb-BWS5NzBzBy2iDSBFz1FIDN-jKvuf9M6Hv-X_FDgJiitbVegXUD7OgGXwpCfvjUHHpTqb_iV7wTWKUODwZJmrPGL-iqig/60.jpg
